customer_id,customer_name,age,income,employment_type,credit_score,state
10001,Elizabeth Brown,42,77857.65,Salaried,664,Arizona
10002,James White,27,38871.22,Business Owner,689,North Carolina
10003,Daniel Taylor,29,61365.05,Business Owner,663,California
10004,Robert Wilson,44,65493.59,Self-Employed,674,Michigan
10005,Emily Wilson,45,31044.37,Retired,667,Michigan
10006,Jennifer Thompson,35,190551.96,Self-Employed,765,Pennsylvania
10007,Jessica Robinson,26,190184.55,Salaried,747,Washington
10008,Jessica Brown,34,56714.49,Contractor,648,Illinois
10009,Elizabeth Harris,54,65711.71,Self-Employed,766,Virginia
10010,Robert Miller,49,66522.09,Business Owner,772,Michigan
10011,William Clark,31,58840.54,Business Owner,707,Ohio
10012,Jessica Robinson,28,110727.44,Contractor,749,Ohio
10013,Thomas White,65,50392.32,Retired,613,North Carolina
10014,Kenneth Thompson,63,133087.5,Retired,587,Michigan
10015,Michael Thomas,47,114881.69,Business Owner,693,California
10016,Emily Garcia,37,84473.27,Contractor,765,Florida
10017,Emily Moore,53,217656.97,Salaried,805,North Carolina
10018,Mark Davis,26,127563.69,Contractor,733,Illinois
10019,William Miller,36,71242.44,Retired,650,California
10020,William Jones,33,77344.89,Salaried,602,Illinois
10021,Elizabeth Thomas,39,148785.83,Salaried,744,Florida
10022,Robert Moore,39,58557.99,Salaried,691,Texas
10023,Thomas Harris,67,51263.55,Salaried,739,California
10024,Jennifer Anderson,41,126194.09,Salaried,711,Virginia
10025,Mark Moore,48,121463.17,Business Owner,666,New York
10026,Rachel Wilson,23,59882.89,Salaried,557,Texas
10027,William Brown,25,214568.63,Salaried,571,Illinois
10028,Steven Jackson,31,70384.89,Salaried,679,New York
10029,Charles Moore,41,140860.48,Salaried,624,North Carolina
10030,Emily Miller,47,107925.33,Salaried,681,Michigan
10031,Lauren Jones,63,58223.64,Salaried,722,California
10032,Lauren Martinez,35,81392.06,Salaried,742,Washington
10033,Lauren Thompson,50,30000,Salaried,578,Arizona
10034,Paul White,39,138404.98,Salaried,679,Florida
10035,Richard Davis,45,89146.37,Self-Employed,709,New Jersey
10036,Mark Robinson,53,136768.62,Business Owner,834,New Jersey
10037,Amanda Jackson,62,57715.56,Salaried,674,Ohio
10038,Joshua Moore,56,78801.28,Business Owner,533,New Jersey
10039,Anthony Robinson,33,44404.21,Self-Employed,585,Ohio
10040,James Davis,47,60450.47,Self-Employed,803,North Carolina
10041,Anthony Harris,39,124965.22,Self-Employed,595,New York
10042,Anthony Davis,41,110886.06,Business Owner,722,Ohio
10043,Robert Miller,58,164065.34,Salaried,666,New York
10044,Michael Martin,42,143367.12,Salaried,631,Massachusetts
10045,Anthony Jones,43,93257.86,Self-Employed,634,New Jersey
10046,Andrew Taylor,36,30000,Business Owner,764,Michigan
10047,Steven Jackson,41,172731.04,Salaried,612,Texas
10048,Kenneth Brown,67,95757.26,Salaried,850,Pennsylvania
10049,William Martin,38,350000,Self-Employed,587,Arizona
